species_id,provider_id,botanical_name,attribute_name,attribute_value,evidence_confidence,source_url,source_id,review_status,notes,approval_id
BCNPPD-0004,PROV-NWM,Camassia quamash,provider observation type,product_title,Pending review,https://northwestmeadowscapes.com/products/common-camas-bulbs-camassia-quamash,SRC-0243,pending_review,Auto-approved attribute row via apply_provider_sandbox.,PA-AUTO-0088-ATTR-02
BCNPPD-0004,PROV-NWM,Camassia quamash,description,"The most important historical native food plant in the Northwest Native across the Pacific Northwest and Northern California, the stunning violet-blue flowers of camas historically lit up prairies, marshes, and oak savannahs in the spring. This plant was once a keystone species, dominating open clearings maintained by incredible native people who carefully tended large grasslands to provide habitat for this plant, in ways that we now mostly have no comprehension of. The bulbs were dug in the fall and pit roasted to breakdown the inulin into simpler sweet caramelized sugars, providing a staple food for thousands of years. Camas is lily-like in appearance with grassy leaves. Common camas typically grows up to a foot and a half tall and prefers loose, fertile soils. Approximately 100 seeds per packet (0.7 grams).",Pending review,https://northwestmeadowscapes.com/products/common-camas-camassia-quamash,SRC-0244,pending_review,Auto-approved attribute row via apply_provider_sandbox.,PA-AUTO-0088-ATTR-06
BCNPPD-0004,PROV-NWM,Camassia quamash,product title,Common Camas Seeds (Camassia quamash),Pending review,https://northwestmeadowscapes.com/products/common-camas-camassia-quamash,SRC-0244,pending_review,Auto-approved attribute row via apply_provider_sandbox.,PA-AUTO-0088-ATTR-04
BCNPPD-0004,PROV-NWM,Camassia quamash,provider observation type,product_title,Pending review,https://northwestmeadowscapes.com/products/common-camas-camassia-quamash,SRC-0244,pending_review,Auto-approved attribute row via apply_provider_sandbox.,PA-AUTO-0088-ATTR-05
BCNPPD-0005,PROV-NWM,Aquilegia formosa,description,"A classic native wildflower for shady locations! Western columbine is a wonderfully adaptable little plant that is perfectly happy in mostly shaded areas with damp soils such as the north sides of buildings, yet it also does fine open sunny meadows as well. Other than hot, dry locations, this plant seems happy just about anywhere. That said, columbine is relatively short and doesn't compete well with much taller plants. On our farm, it struggles under the competition of much taller stinging nettles and it responds well whenever the nettles are weeded back -- showing that it can spread with a little help and protection. The flowers are not overwhelmingly active with visitors, but they do attract a surprisingly wide range of different types of pollinators ranging from hummingbirds to tiny Andrena mining bees and syrphid flies. It's particularly satisfying to watch large queen bumble bees in the spring dangling from the downward-facing blossoms while the entire flower stalk bobs wildly up and down under the bee's weight. For folks with mature fir trees in their yards, this is a great native understory plant that can add a little bit of color in an space that might otherwise have few non-green options. Do note, it can take some patience and dedication to grow columbine from seed. We recommend sowing in deep, well-watered containers (such as our DEEPOT kits ) in a shaded location, and protected from slugs, until the seedlings are large enough to transplant. Approximately 200 seeds. (0.4 grams)",Pending review,https://northwestmeadowscapes.com/products/western-columbine-aquilegia-formosa,SRC-0356,pending_review,Auto-approved attribute row via apply_provider_sandbox.,PA-AUTO-0200-ATTR-03
BCNPPD-0005,PROV-NWM,Aquilegia formosa,product title,Western Columbine Seeds (Aquilegia formosa),Pending review,https://northwestmeadowscapes.com/products/western-columbine-aquilegia-formosa,SRC-0356,pending_review,Auto-approved attribute row via apply_provider_sandbox.,PA-AUTO-0200-ATTR-01
BCNPPD-0005,PROV-NWM,Aquilegia formosa,provider observation type,product_title,Pending review,https://northwestmeadowscapes.com/products/western-columbine-aquilegia-formosa,SRC-0356,pending_review,Auto-approved attribute row via apply_provider_sandbox.,PA-AUTO-0200-ATTR-02
BCNPPD-0006,PROV-NWM,Tellima grandiflora,description,"A shade-tolerant wildflower that is great for bumble bees. Small, highly-fragrant, cup-shaped green and red flowers arise on tall upright stems of this plant, growing up to 2-feet tall from a base of broad, heart-shaped leaves. Fringecup thrives in cool, moist, and shady areas along streams, in floodplains, and in cool rain forests. It can also tolerate a bit of direct sun as long as it isn't an excessively hot location. Fringecup can also tolerate some seasonal flooding and grows well together with great camas, Oregon phacelia, and columbine. You'll find this plant growing in rich, fertile soils from Alaska to the coastal redwood lands of California, as well as across northern Idaho and western Montana. Fringecup will sometimes remain green throughout the winter in mild areas. It's easy to grow from seed, and once established it transplants and divides well. Use it to create nice patchy areas of deer-resistant ground cover, in rain gardens, or as a bedding plant on the shady-side of buildings. 0.5 grams (Approximately 2000 to 3000 seeds).",Pending review,https://northwestmeadowscapes.com/products/fringecup-seeds-tellima-grandiflora,SRC-0306,pending_review,Auto-approved attribute row via apply_provider_sandbox.,PA-AUTO-0150-ATTR-03
BCNPPD-0006,PROV-NWM,Tellima grandiflora,product title,Fringecup Seeds (Tellima grandiflora),Pending review,https://northwestmeadowscapes.com/products/fringecup-seeds-tellima-grandiflora,SRC-0306,pending_review,Auto-approved attribute row via apply_provider_sandbox.,PA-AUTO-0150-ATTR-01
BCNPPD-0006,PROV-NWM,Tellima grandiflora,provider observation type,product_title,Pending review,https://northwestmeadowscapes.com/products/fringecup-seeds-tellima-grandiflora,SRC-0306,pending_review,Auto-approved attribute row via apply_provider_sandbox.,PA-AUTO-0150-ATTR-02
BCNPPD-0006,PROV-PREMIER,Tellima grandiflora,product title,BC Native Species,Pending review,https://premierpacificseeds.ca/products/bc-native-species/,SRC-0378,pending_review,Auto-approved attribute row via apply_provider_sandbox.,PROV-PREMIER-PA-AUTO-0049-ATTR-01
BCNPPD-0006,PROV-PREMIER,Tellima grandiflora,provider observation type,wordpress_seed_mix_component,Pending review,https://premierpacificseeds.ca/products/bc-native-species/,SRC-0378,pending_review,Auto-approved attribute row via apply_provider_sandbox.,PROV-PREMIER-PA-AUTO-0049-ATTR-02
BCNPPD-0006,PROV-PREMIER,Tellima grandiflora,seed mix component percentage,0.75%,Pending review,https://premierpacificseeds.ca/products/bc-native-species/,SRC-0378,pending_review,Auto-approved attribute row via apply_provider_sandbox.,PROV-PREMIER-PA-AUTO-0049-ATTR-03
BCNPPD-0006,PROV-PREMIER,Tellima grandiflora,product title,Reclamation Seed,Pending review,https://premierpacificseeds.ca/products/reclamation-seed/,SRC-0379,pending_review,Auto-approved attribute row via apply_provider_sandbox.,PA-AUTO-0049-ATTR-07
BCNPPD-0006,PROV-PREMIER,Tellima grandiflora,provider observation type,wordpress_seed_mix_component,Pending review,https://premierpacificseeds.ca/products/reclamation-seed/,SRC-0379,pending_review,Auto-approved attribute row via apply_provider_sandbox.,PA-AUTO-0049-ATTR-08
BCNPPD-0006,PROV-PREMIER,Tellima grandiflora,seed mix component percentage,0.75%,Pending review,https://premierpacificseeds.ca/products/reclamation-seed/,SRC-0379,pending_review,Auto-approved attribute row via apply_provider_sandbox.,PA-AUTO-0049-ATTR-09
BCNPPD-0006,PROV-PREMIER,Tellima grandiflora,product title,Wildflower Seed,Pending review,https://premierpacificseeds.ca/products/wildflower-seed/,SRC-0380,pending_review,Auto-approved attribute row via apply_provider_sandbox.,PROV-PREMIER-PA-AUTO-0049-ATTR-04
BCNPPD-0006,PROV-PREMIER,Tellima grandiflora,provider observation type,wordpress_seed_mix_component,Pending review,https://premierpacificseeds.ca/products/wildflower-seed/,SRC-0380,pending_review,Auto-approved attribute row via apply_provider_sandbox.,PROV-PREMIER-PA-AUTO-0049-ATTR-05
BCNPPD-0006,PROV-PREMIER,Tellima grandiflora,seed mix component percentage,0.75%,Pending review,https://premierpacificseeds.ca/products/wildflower-seed/,SRC-0380,pending_review,Auto-approved attribute row via apply_provider_sandbox.,PA-AUTO-0049-ATTR-06
BCNPPD-0011,PROV-NWM,Allium cernuum,description,"A beautiful, long-lived survivor plant for the toughest sites. This true onion (yes, you can eat it), has an amazing ability to grow in some of the toughest sites we've seen: pure gravel and sand, as well as heavy clay. It's a great rock garden plant, and better yet, deer leave it alone. We even grow this around our house in containers in full sun, forgetting to water it for months at a time, and yet it gracefully continues to bloom faithfully year after year in mid-summer. Like other wild Alliums, nodding pink onion forms vegetative offsets that can be dug up and divided to create more plants. In fact, like camas, the more you dig and re-plant nodding pink onion, the better it tends to do. While the plants are slow to mature, after several years they begin to form multi-stemmed colonies, a sure sign they are ready to dig and divide. We find this an easy plant to grow from seed when it is sown in trays in the fall, then left outside all winter exposed to the elements. The new tiny shoots emerge in early spring, and are best kept in containers for a few seasons until they can hold their own around other plants. (Because the initial shoots are so small, we don't recommend direct planting this in a seed mix, or sowing where the seedlings will have heavy competition from other plants). Nodding pink onion has an amazingly wide native range, occurring across much of temperate North America. Over this range white, pink, and purple flowered forms of it can be found, with ours tending toward the latter. These flowers are readily visited by various bumble bees, small Halictid sweat bees, and various syrphid flies. This has been a challenging plant for us to reliably harvest seed from due to variable seed ripening, and a fast loss of ripe seed, but we think it is worth the effort. In the past this was a common species in some of our garry oak savannahs, coastal balds and back dunes, and glacial till prairies. It deserves a renewed place in our landscapes today. Approximately 100 seeds - 0.5 grams",Pending review,https://northwestmeadowscapes.com/products/nodding-pink-onion-seeds-allium-cernuum,SRC-0320,pending_review,Auto-approved attribute row via apply_provider_sandbox.,PA-AUTO-0164-ATTR-03
BCNPPD-0011,PROV-NWM,Allium cernuum,product title,Nodding Pink Onion Seeds (Allium cernuum),Pending review,https://northwestmeadowscapes.com/products/nodding-pink-onion-seeds-allium-cernuum,SRC-0320,pending_review,Auto-approved attribute row via apply_provider_sandbox.,PA-AUTO-0164-ATTR-01
BCNPPD-0011,PROV-NWM,Allium cernuum,provider observation type,product_title,Pending review,https://northwestmeadowscapes.com/products/nodding-pink-onion-seeds-allium-cernuum,SRC-0320,pending_review,Auto-approved attribute row via apply_provider_sandbox.,PA-AUTO-0164-ATTR-02
BCNPPD-0012,PROV-NWM,Eriophyllum lanatum,description,"A cheerful drought-hardy plant for dry sites and hot summers! Oregon sunshine, also known as wooly sunflower, is unique for being native to both sides of the Cascades. This compact, summer-blooming plant has a clumping growth habit and typically only reaches about a foot in height. It’s a variable plant in terms of foliage, with the leaves of some plants being a deep true green while others are covered with fine soft gray hairs. Regardless of individual foliage variations, the plant produces incredibly cheerful masses of bright yellow flowers which makes this a great plant for both meadows and for formal flowerbeds. Its brilliance will outshine any non-native ornamental you plant it next to! Oregon sunshine is under-appreciated and under-used in harsh dry sites where other plants struggle. It’s perfect for rock gardens and xeriscaping, and it’s a good colonizer if disturbed sites such as excavated, burned, or backfilled areas with marginal topsoil. While it is slow to mature from seed, it is a long-lived plant, it’s deer-resistant, and it’s ready for the some of the harshest climate conditions any plant in our region might someday face. A perfect plant for an uncertain future. The long-lasting blooms attract bees, butterflies, and beneficial syrphid flies. The foliage is also a host plant for caterpillars of the painted lady butterfly ( Vanessa cardui ). Approximately 1500 to 2000 seeds (0.5 grams).",Pending review,https://northwestmeadowscapes.com/products/oregon-sunshine-eriophyllum-lanatum,SRC-0352,pending_review,Auto-approved attribute row via apply_provider_sandbox.,PA-AUTO-0196-ATTR-03
BCNPPD-0012,PROV-NWM,Eriophyllum lanatum,product title,Oregon Sunshine / Wooly Sunflower Seeds (Eriophyllum lanatum),Pending review,https://northwestmeadowscapes.com/products/oregon-sunshine-eriophyllum-lanatum,SRC-0352,pending_review,Auto-approved attribute row via apply_provider_sandbox.,PA-AUTO-0196-ATTR-01
BCNPPD-0012,PROV-NWM,Eriophyllum lanatum,provider observation type,product_title,Pending review,https://northwestmeadowscapes.com/products/oregon-sunshine-eriophyllum-lanatum,SRC-0352,pending_review,Auto-approved attribute row via apply_provider_sandbox.,PA-AUTO-0196-ATTR-02
BCNPPD-0012,PROV-PREMIER,Eriophyllum lanatum,product title,BC Native Species,Pending review,https://premierpacificseeds.ca/products/bc-native-species/,SRC-0378,pending_review,Auto-approved attribute row via apply_provider_sandbox.,PROV-PREMIER-PA-AUTO-0045-ATTR-01
BCNPPD-0012,PROV-PREMIER,Eriophyllum lanatum,provider observation type,wordpress_seed_mix_component,Pending review,https://premierpacificseeds.ca/products/bc-native-species/,SRC-0378,pending_review,Auto-approved attribute row via apply_provider_sandbox.,PROV-PREMIER-PA-AUTO-0045-ATTR-02
BCNPPD-0012,PROV-PREMIER,Eriophyllum lanatum,seed mix component percentage,3.00%,Pending review,https://premierpacificseeds.ca/products/bc-native-species/,SRC-0378,pending_review,Auto-approved attribute row via apply_provider_sandbox.,PROV-PREMIER-PA-AUTO-0045-ATTR-03
BCNPPD-0012,PROV-PREMIER,Eriophyllum lanatum,product title,Reclamation Seed,Pending review,https://premierpacificseeds.ca/products/reclamation-seed/,SRC-0379,pending_review,Auto-approved attribute row via apply_provider_sandbox.,PA-AUTO-0045-ATTR-07
BCNPPD-0012,PROV-PREMIER,Eriophyllum lanatum,provider observation type,wordpress_seed_mix_component,Pending review,https://premierpacificseeds.ca/products/reclamation-seed/,SRC-0379,pending_review,Auto-approved attribute row via apply_provider_sandbox.,PA-AUTO-0045-ATTR-08
BCNPPD-0012,PROV-PREMIER,Eriophyllum lanatum,seed mix component percentage,3.00%,Pending review,https://premierpacificseeds.ca/products/reclamation-seed/,SRC-0379,pending_review,Auto-approved attribute row via apply_provider_sandbox.,PA-AUTO-0045-ATTR-09
BCNPPD-0012,PROV-PREMIER,Eriophyllum lanatum,product title,Wildflower Seed,Pending review,https://premierpacificseeds.ca/products/wildflower-seed/,SRC-0380,pending_review,Auto-approved attribute row via apply_provider_sandbox.,PROV-PREMIER-PA-AUTO-0045-ATTR-04
BCNPPD-0012,PROV-PREMIER,Eriophyllum lanatum,provider observation type,wordpress_seed_mix_component,Pending review,https://premierpacificseeds.ca/products/wildflower-seed/,SRC-0380,pending_review,Auto-approved attribute row via apply_provider_sandbox.,PROV-PREMIER-PA-AUTO-0045-ATTR-05
BCNPPD-0012,PROV-PREMIER,Eriophyllum lanatum,seed mix component percentage,3.00%,Pending review,https://premierpacificseeds.ca/products/wildflower-seed/,SRC-0380,pending_review,Auto-approved attribute row via apply_provider_sandbox.,PA-AUTO-0045-ATTR-06
BCNPPD-0012,PROV-WCS,Eriophyllum lanatum,description,"[description action=""start""] Eriophyllum lanatum. Height to 30-60cm (12-24""). Also known as Oregon Sunshine. This native Common Woolly Sunflower is not a real sunflower, but blooms from May to August with intensely yellow 5cm (2"") wide flowers that rise above silvery grey, woolly foliage. It prefers full sun, but will bloom in partial shade. Common Woolly Sunflowers work well in containers, in the border, and in alpine rock gardens. Their spread is very gradual, and they are quite ornamental at all times of the year. This plant is very attractive to pollinators and beneficial insects, so it deserves a place in every organic garden. Hardy to Zone 5. Perennial [description action=""end""][quickfacts action=""start quickfacts""] Perennial Intensely yellow flowers Blooms May to August Height to 30-60cm (12-24"") Silvery grey, woolly foliage [quickfacts action=""end quickfacts""]",Pending review,https://www.westcoastseeds.com/products/common-woolly-sunflower,SRC-0375,pending_review,Auto-approved attribute row via apply_provider_sandbox.,PA-AUTO-0020-ATTR-05
BCNPPD-0012,PROV-WCS,Eriophyllum lanatum,product title,Common Woolly Sunflower,Pending review,https://www.westcoastseeds.com/products/common-woolly-sunflower,SRC-0375,pending_review,Auto-approved attribute row via apply_provider_sandbox.,PROV-WCS-PA-AUTO-0020-ATTR-01
BCNPPD-0012,PROV-WCS,Eriophyllum lanatum,product type,Flower Seeds,Pending review,https://www.westcoastseeds.com/products/common-woolly-sunflower,SRC-0375,pending_review,Auto-approved attribute row via apply_provider_sandbox.,PROV-WCS-PA-AUTO-0020-ATTR-02
BCNPPD-0012,PROV-WCS,Eriophyllum lanatum,provider observation type,product_body,Pending review,https://www.westcoastseeds.com/products/common-woolly-sunflower,SRC-0375,pending_review,Auto-approved attribute row via apply_provider_sandbox.,PA-AUTO-0020-ATTR-04
BCNPPD-0012,PROV-WCS,Eriophyllum lanatum,tags,"Attracts Pollinators, AVAILABILITY:Available in USA, AVAILABILITY:In Stock, bc-freeship, BIS-LIMIT:50, COLLECTION:All Seeds, COLLECTION:Eriophyllum Seeds, COLLECTION:Flower Seeds, COLLECTION:Seed Sale Aug 2025, COLLECTION:Seed Sale Aug 2025 POS, COLLECTION:Wildflower Seeds, COLOR:Yellow, EX STOCK FL3817C, FILTER:Attracts Pollinators, FILTER:Available In USA, FILTER:Hardy to Zone 5, FILTER:In Stock, FILTER:Native, FILTER:Perennial, fundraising-sync, In Stock, Perennial, pos-published, surplus-2025-08-12, temp-on-web, web-published",Pending review,https://www.westcoastseeds.com/products/common-woolly-sunflower,SRC-0375,pending_review,Auto-approved attribute row via apply_provider_sandbox.,PROV-WCS-PA-AUTO-0020-ATTR-03
BCNPPD-0013,PROV-NWM,Lomatium nudicaule,description,"A fascinating native member of the carrot family. Blooming at roughly the same time as camas, this unusual-looking plant creates a dazzling color contrast in spring meadows. Barestem biscuitroot is a bit of a mystery. It’s known to be a historical native food plant, but detailed records of how it was used are limited. It does however have an amazingly strong celery-like smell, and produces large sunflower-like seeds. Its bright yellow flowering globes spring forth atop leafless stalks, with the waxy green foliage remaining close to the ground. This is an excellent plant for attracting small native bees, interesting syrphid flies, and butterflies. Barestem biscuitroot is very good for dry soils, surviving from a deep taproot, although it is fairly adaptable to different soil conditions. This is a plant for full sun and is native from British Columbia to California. Approximately 150 seeds (3.0 grams).",Pending review,https://northwestmeadowscapes.com/products/barestem-biscuitroot-seeds-lomatium-nudicaule,SRC-0329,pending_review,Auto-approved attribute row via apply_provider_sandbox.,PA-AUTO-0173-ATTR-03
BCNPPD-0013,PROV-NWM,Lomatium nudicaule,product title,Barestem Biscuitroot Seeds (Lomatium nudicaule),Pending review,https://northwestmeadowscapes.com/products/barestem-biscuitroot-seeds-lomatium-nudicaule,SRC-0329,pending_review,Auto-approved attribute row via apply_provider_sandbox.,PA-AUTO-0173-ATTR-01
BCNPPD-0013,PROV-NWM,Lomatium nudicaule,provider observation type,product_title,Pending review,https://northwestmeadowscapes.com/products/barestem-biscuitroot-seeds-lomatium-nudicaule,SRC-0329,pending_review,Auto-approved attribute row via apply_provider_sandbox.,PA-AUTO-0173-ATTR-02
BCNPPD-0014,PROV-NWM,Plectritis congesta,description,"An early spring icon! This adaptable annual with powder-puff pink blossoms naturally occurs in damp grassy meadows with common camas and western buttercup, as well as on the back dunes of coastal beaches among short statured grasses, and in dry rocky glacial outwash soils where it sometimes forms beautiful expansive swaths. Its primary requirement is sun, and although it usually stays within 6 to 12 inches in height, it can occasionally grow larger in rich/moist soils (usually producing more blossoms as well). Although not deer-proof, seablush isn’t a favorite food source for deer. It is however a host plant for the endangered Taylor’s checkerspot butterfly ( Euphydryas editha taylori ), and attracts interesting clearwing moths, bumble bees, and a striking range of other early spring pollinators. We’ve had great luck and beautiful results companion planting seablush with Douglas meadowfoam. Or combine with meadowfoam, globe gilia, and farewell-to-spring to create a vibrant continuous all-annual blooming wildflower show from spring through late summer. Approximately 400-500 seeds. (0.6 grams).",Pending review,https://northwestmeadowscapes.com/products/seablush-seeds-plectritis-congesta,SRC-0349,pending_review,Auto-approved attribute row via apply_provider_sandbox.,PA-AUTO-0193-ATTR-03
BCNPPD-0014,PROV-NWM,Plectritis congesta,product title,Seablush Seeds (Plectritis congesta),Pending review,https://northwestmeadowscapes.com/products/seablush-seeds-plectritis-congesta,SRC-0349,pending_review,Auto-approved attribute row via apply_provider_sandbox.,PA-AUTO-0193-ATTR-01
BCNPPD-0014,PROV-NWM,Plectritis congesta,provider observation type,product_title,Pending review,https://northwestmeadowscapes.com/products/seablush-seeds-plectritis-congesta,SRC-0349,pending_review,Auto-approved attribute row via apply_provider_sandbox.,PA-AUTO-0193-ATTR-02
BCNPPD-0020,PROV-NWM,Carex obnupta,description,"Slough sedge is a cornerstone species in many damp meadows and wetlands along the West Coast. It extends from California to southern Alaska, and inland to the western slope of the Cascades. This plant is a visual standout for its black-bronze seed-heads, which are food for waterfowl. Our humble native Townsend’s vole feed on the rhizomes, and we sometimes see our remarkable local blue-morph garter snakes taking cover below the dense foliage. You can frequently see slough sedge in coastal wetlands and estuaries, and in the backwater floodplains of rivers, but it also gets used with good results in urban bioswales. It’s slightly salt tolerant, and generally evergreen. Sedges tend to get overlooked as restoration plants, which is unfortunate. Slough sedge is not only deer resistant, but also copes with less than pristine urban rainwater runoff. It’s a butterfly host plant, feeding the caterpillars of the Umber skipper ( Poanes melane ), the Dun skipper ( Euphyes vestris ), and the common ringlet ( Coenonympha tullia ). It’s even suitable for basketry! A few key things to know about this fine plant: First, it has sharp leaf edges, so it’s best handled with mindful intent. Second, its strongly rhizomatous growth habit makes it a very good choice for stabilizing water edges against erosion, as well as for holding ground against wetland invasives such as reed canary grass. 2.0 grams (Approximately 400 - 800 seeds)",Pending review,https://northwestmeadowscapes.com/products/slough-sedge-seeds-carex-obnupta,SRC-0301,pending_review,Auto-approved attribute row via apply_provider_sandbox.,PA-AUTO-0145-ATTR-03
BCNPPD-0020,PROV-NWM,Carex obnupta,product title,Slough Sedge Seeds (Carex obnupta),Pending review,https://northwestmeadowscapes.com/products/slough-sedge-seeds-carex-obnupta,SRC-0301,pending_review,Auto-approved attribute row via apply_provider_sandbox.,PA-AUTO-0145-ATTR-01
BCNPPD-0020,PROV-NWM,Carex obnupta,provider observation type,product_title,Pending review,https://northwestmeadowscapes.com/products/slough-sedge-seeds-carex-obnupta,SRC-0301,pending_review,Auto-approved attribute row via apply_provider_sandbox.,PA-AUTO-0145-ATTR-02
